lon,lat,dist,ir,opt
150.7574,-2.3372,19.794,0.7512,0.2212
217.1348,-5.093,20.765,0.4887,0.2046
106.9638,1.3281,15.826,0.4885,0.1474
97.9722,1.8046,16.13,0.4192,0.1443
160.5621,-6.2973,18.949,0.4795,0.1641
114.8762,6.5783,16.898,0.2821,0.1799
214.6572,-5.3998,20.431,0.4557,0.2424
122.355,4.4953,18.413,0.403,0.3439
221.7107,-5.3408,18.277,0.4245,0.2052
172.7552,2.5501,18.393,0.8441,0.4167
150.396,-1.5729,19.833,0.8228,0.2587
127.664,-4.2552,19.987,0.4548,0.1593
153.9983,-2.3135,19.473,0.755,0.2102
168.2645,2.2682,18.537,0.7898,0.2914
218.7852,0.2538,20.162,0.7858,0.1383
178.5153,-8.3791,17.447,0.5208,0.2526
173.0112,1.8482,18.387,0.872,0.3265
120.6428,4.8702,18.499,0.418,0.3081
182.6884,-9.8723,14.828,0.388,0.3661
194.3947,5.5969,18.655,0.485,0.3407
108.3469,4.1634,15.915,0.3082,0.188
209.5814,-3.0823,19.831,0.6289,0.1669
175.9115,5.4081,18.333,0.7606,0.7667
153.4253,-0.9723,19.527,0.8632,0.2195
244.9797,3.0902,15.741,0.4561,0.1316
155.6405,8.8723,16.484,0.337,0.1579
229.8693,-2.0481,17.617,0.6908,0.2384
170.3556,9.3639,15.626,0.4244,0.2679
273.9686,2.5244,15.291,0.4726,0.3715
221.9941,5.9307,18.171,0.388,0.1931
246.8035,-1.3939,16.054,0.5764,0.4859
176.974,-8.7158,16.778,0.5189,0.2162
111.7303,-0.8956,16.311,0.6012,0.3599
172.778,2.0004,18.393,0.8671,0.3147
172.9825,-7.9014,18.388,0.5923,0.3158
179.5997,2.3631,18.305,0.9476,0.6615
201.4735,-9.8046,14.93,0.3283,0.1709
186.3762,-8.2427,17.733,0.538,0.4143
122.2021,6.2965,18.72,0.3608,0.2473
231.688,0.5281,17.786,0.761,0.3828
351.3115,-3.2621,10.188,0.4432,0.2174
199.9309,4.384,18.982,0.5675,0.216
261.7809,4.8541,14.471,0.4176,0.2051
208.3231,-1.2277,19.699,0.7955,0.141
160.3099,0.2963,18.966,0.8841,0.2754
213.4623,-6.7295,20.279,0.405,0.181
163.3642,-5.279,18.774,0.5875,0.1769
61.1128,0.3955,13.431,0.2889,0.2355
74.1028,-7.7616,14.065,0.3769,0.2406
182.6045,-9.1685,15.956,0.4278,0.3879
230.0832,7.3584,17.58,0.3382,0.1632
185.6146,-0.2231,18.358,0.9027,0.1362
110.8548,4.0936,16.913,0.2981,0.1641
159.7501,7.3628,19.005,0.3948,0.2023
178.9829,2.3569,18.307,0.9503,0.7356
248.2296,3.5303,15.691,0.3993,0.2101
237.1988,-2.1227,17.123,0.6188,0.2098
156.81,6.3567,19.228,0.4438,0.1723
196.0161,-9.8848,14.81,0.2942,0.0965
131.9262,-2.0765,20.571,0.6639,0.2193
139.8809,-1.0261,21.207,0.7373,0.096
134.3706,-5.4546,19.866,0.4076,0.2649
217.2415,3.3643,20.781,0.5391,0.2379
166.8579,-2.4043,18.596,0.8271,0.2393
186.8694,-0.4164,18.384,0.7995,0.0679
122.8492,-2.3961,18.312,0.5662,0.1368
208.8621,0.6721,19.754,0.8304,0.4215
92.4396,-4.3025,15.955,0.3825,0.2653
289.0893,0.7832,13.45,0.3118,0.2671
219.7202,4.323,20.223,0.4565,0.218
148.8777,-7.5623,19.318,0.3193,0.1186
189.0588,4.1809,18.443,0.6391,0.3645
174.0764,6.1199,18.364,0.6939,0.5717
152.5458,3.351,19.612,0.5913,0.5205
224.5894,-0.9646,18.03,0.7676,0.2947
231.1097,2.1419,17.298,0.6071,0.3415
178.8361,9.7557,15.004,0.457,0.3524
250.252,-1.9136,15.041,0.525,0.5365
260.762,1.5677,14.65,0.4206,0.1946
116.4138,-5.4669,17.364,0.3966,0.4008
234.3159,0.6592,18.352,0.7437,0.3048
238.2621,1.1557,16.869,0.6485,0.1958
84.4711,-2.0137,15.052,0.3875,0.2432
194.3846,6.8407,18.655,0.4334,0.2695
94.7205,-2.7973,16.318,0.4638,0.3565
109.9888,-2.0604,16.106,0.5684,0.3585
230.7499,6.4496,17.43,0.3717,0.1894
175.3423,2.1251,18.341,0.9247,0.6422
62.9419,0.0513,12.815,0.375,0.2859
52.6946,-2.6493,13.631,0.2789,0.1613
112.2538,0.1228,16.893,0.5889,0.2654
221.479,-3.8749,18.534,0.5347,0.2264
189.7349,-1.4783,18.464,0.8266,0.1108
70.0641,-2.6448,14.042,0.4114,0.1356
149.8154,-0.3731,19.896,0.8182,0.1563
93.5328,5.2058,16.315,0.3242,0.2345
192.7116,-5.696,18.577,0.5215,0.1572
175.6275,-7.8053,18.337,0.5848,0.2083
163.5758,6.8871,18.762,0.4864,0.3265
175.7668,-6.999,18.335,0.6351,0.207
265.4485,-0.4796,14.716,0.417,0.1716
142.0115,-0.8111,20.887,0.7371,0.1319
247.7285,-1.2479,15.773,0.5814,0.4628
229.2011,2.2787,18.277,0.5922,0.254
184.3999,3.6046,18.337,0.8248,0.6755
265.503,-2.935,14.809,0.2819,0.1856
276.9203,2.4933,15.642,0.3191,0.2571
236.3323,-7.4381,17.553,0.287,0.151
133.9801,-1.3585,19.818,0.7341,0.1917
220.6582,8.8615,16.504,0.3153,0.2068
261.3528,6.3557,14.337,0.2801,0.263
195.2054,1.807,18.696,0.7193,0.1169
166.1607,-9.8134,14.917,0.3608,0.2854
199.8306,4.6614,18.975,0.5597,0.2203
132.4587,-3.4614,20.567,0.5427,0.2924
213.496,-2.1695,20.283,0.72,0.1814
173.1502,2.8465,18.384,0.8396,0.4788
208.7942,1.2297,19.747,0.8071,0.5378
179.372,-8.4588,17.284,0.5086,0.2446
138.1799,1.4374,21.478,0.6267,0.2174
66.4115,-2.7553,13.664,0.3262,0.2084
262.0582,-0.0708,13.958,0.426,0.2582
262.623,5.3103,13.727,0.333,0.2079
101.5873,-4.7659,16.722,0.4237,0.3407
97.9019,5.188,16.133,0.3131,0.2597
175.5256,-9.3277,15.686,0.4836,0.2978
191.6714,-1.7781,18.534,0.8047,0.2194
201.6605,8.7364,16.738,0.3497,0.1922
125.8223,-7.7181,18.931,0.2851,0.1739
202.0402,0.4678,19.137,0.8332,0.3175
195.6738,-8.3655,17.475,0.3782,0.1056
166.4264,-1.7647,18.616,0.8484,0.2452
72.491,-4.8276,13.938,0.3068,0.1786
179.2125,-7.8905,18.306,0.5606,0.2468
73.3559,0.4666,13.961,0.3522,0.3415
235.5453,-6.9579,17.454,0.3175,0.1713
153.8963,-6.7553,19.482,0.3874,0.133
201.512,0.548,19.096,0.8296,0.3518
194.6858,4.2049,18.67,0.569,0.3033
169.6204,6.4327,18.486,0.5921,0.4486
125.2589,-0.993,19.745,0.6871,0.1731
234.4131,2.4186,18.058,0.5819,0.38
117.0374,3.7265,17.458,0.3454,0.1268
184.5557,-3.8938,18.34,0.8353,0.2854
283.841,3.2997,14.18,0.2844,0.2276
194.6515,-8.0693,18.112,0.3923,0.111
108.4555,1.9671,15.934,0.4407,0.1892
213.5598,7.846,18.624,0.348,0.2193
215.6323,-7.7013,18.972,0.3031,0.1867
205.838,0.3489,19.458,0.8101,0.2441
216.6924,7.8505,18.613,0.3298,0.2425
218.5522,2.6262,20.073,0.5981,0.3118
216.2344,4.8719,20.641,0.4596,0.2411
228.2775,-8.5814,17.038,0.291,0.1757
130.2671,-0.5501,20.571,0.7211,0.1906
349.7518,-3.3731,10.214,0.4485,0.1721
70.5952,2.2156,14.256,0.3299,0.2561
74.5173,0.3315,13.839,0.395,0.3511
182.6683,7.4845,18.317,0.5228,0.4793
142.0474,-1.5634,20.882,0.657,0.0939
247.1724,-7.7102,15.638,0.2995,0.1642
164.2451,-2.6189,18.725,0.7835,0.2502
150.8212,5.0236,19.788,0.5267,0.3653
244.3212,-2.7616,15.548,0.4847,0.3231
151.9323,-4.0992,19.673,0.4707,0.0824
207.792,-9.1252,16.031,0.3116,0.242
201.1113,-3.1367,19.067,0.6862,0.2134
155.1547,-3.6227,19.368,0.6277,0.2002
247.8258,-2.5089,15.598,0.5126,0.4326
